Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
7000                 | 1.20            | 6.29            | 6547.18         | 28191.30        | 34738.48             | 19216.52                 
7000                 | 1.30            | 5.81            | 6547.18         | 26022.74        | 32569.91             | 21385.09                 
7000                 | 1.40            | 5.39            | 6547.18         | 24163.97        | 30711.15             | 23243.85                 
7000                 | 1.50            | 5.03            | 6547.18         | 22553.04        | 29100.22             | 24854.78                 
7000                 | 1.60            | 4.72            | 6547.18         | 21143.47        | 27690.65             | 26264.35                 
7000                 | 1.70            | 4.44            | 6547.18         | 19899.74        | 26446.92             | 27508.08                 
7000                 | 1.80            | 4.20            | 6547.18         | 18794.20        | 25341.38             | 28613.62                 
7000                 | 1.90            | 3.97            | 6547.18         | 17805.03        | 24352.21             | 29602.79                 
7000                 | 2.00            | 3.78            | 6547.18         | 16914.78        | 23461.96             | 30493.04                 

Results for Mass Flow Rate: 8000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
8000                 | 0.50            | 17.26           | 6547.18         | 88371.09        | 94918.27             | -40963.27                
8000                 | 0.60            | 14.38           | 6547.18         | 73642.57        | 80189.75             | -26234.75                
8000                 | 0.70            | 12.33           | 6547.18         | 63122.21        | 69669.38             | -15714.38                
8000                 | 0.80            | 10.79           | 6547.18         | 55231.93        | 61779.11             | -7824.11                 
8000                 | 0.90            | 9.59            | 6547.18         | 49095.05        | 55642.23             | -1687.23                 
8000                 | 1.00            | 8.63            | 6547.18         | 44185.54        | 50732.72             | 3222.28                  
8000                 | 1.10            | 7.85            | 6547.18         | 40168.68        | 46715.85             | 7239.15                  
8000                 | 1.20            | 7.19            | 6547.18         | 36821.29        | 43368.46             | 10586.54                 
8000                 | 1.30            | 6.64            | 6547.18         | 33988.88        | 40536.06             | 13418.94                 
8000                 | 1.40            | 6.16            | 6547.18         | 31561.10        | 38108.28             | 15846.72                 
8000                 | 1.50            | 5.75            | 6547.18         | 29457.03        | 36004.21             | 17950.79                 
8000                 | 1.60            | 5.39            | 6547.18         | 27615.97        | 34163.14             | 19791.86                 
8000                 | 1.70            | 5.08            | 6547.18         | 25991.50        | 32538.67             | 21416.33                 
8000                 | 1.80            | 4.79            | 6547.18         | 24547.52        | 31094.70             | 22860.30                 
8000                 | 1.90            | 4.54            | 6547.18         | 23255.55        | 29802.73             | 24152.27                 
8000                 | 2.00            | 4.31            | 6547.18         | 22092.77        | 28639.95             | 25315.05                 

Results for Mass Flow Rate: 6000 kg/s
Mass Flow Rate (kg/s) | Total Area (m^2) | Velocity (m/s) | Buoyant Force (N) | Drag Force (N) | Total Upward Force (N) | Additional Buoyant Force Needed (N)
------------------------------------------------------------------------------------------------------------------------------------------------------
6000                 | 0.50            | 12.94           | 10114.58        | 49708.74        | 59823.32             | -5868.32                 
6000                 | 0.60            | 10.79           | 10114.58        | 41423.95        | 51538.53             | 2416.47                  
6000                 | 0.70            | 9.25            | 10114.58        | 35506.24        | 45620.82             | 8334.18                  
6000                 | 0.80            | 8.09            | 10114.58        | 31067.96        | 41182.54             | 12772.46                 
6000                 | 0.90            | 7.19            | 10114.58        | 27615.97        | 37730.54             | 16224.46                 
6000                 | 1.00            | 6.47            | 10114.58        | 24854.37        | 34968.95             | 18986.05                 
6000                 | 1.10            | 5.88            | 10114.58        | 22594.88        | 32709.46             | 21245.54                 
6000                 | 1.20            | 5.39            | 10114.58        | 20711.97        | 30826.55             | 23128.45                 
6000                 | 1.30            | 4.98            | 10114.58        | 19118.75        | 29233.32             | 24721.68                 
6000                 | 1.40            | 4.62            | 10114.58        | 17753.12        | 27867.70             | 26087.30                 
6000                 | 1.50            | 4.31            | 10114.58        | 16569.58        | 26684.16             | 27270.84                 
6000                 | 1.60            | 4.05            | 10114.58        | 15533.98        | 25648.56             | 28306.44                 
6000                 | 1.70            | 3.81            | 10114.58        | 14620.22        | 24734.80             | 29220.20                 
6000                 | 1.80            | 3.60            | 10114.58        | 13807.98        | 23922.56             | 30032.44                 
6000                 | 1.90            | 3.41            | 10114.58        | 13081.25        | 23195.83             | 30759.17                 
6000                 | 2.00            | 3.24            | 10114.58        | 12427.18        | 22541.76             | 31413.24                 

Results for Mass Flow Rate: 7000 kg/s
